SYMBOL	STAN	EOREOR
795711496319	1,000	EOREOR
795711495916	10,000	EOREOR
795711495923	2,000	EOREOR
795711509194	2,000	EOREOR
795711509200	7,000	EOREOR
795711509927	0,000	EOREOR
795711509552	14,000	EOREOR
795711991708	0,000	EOREOR
795711495602	1,000	EOREOR
795711509675	6,000	EOREOR
795711509682	8,000	EOREOR
795711025656	1,000	EOREOR
795711509248	0,000	EOREOR
795711509491	20,000	EOREOR
795711509507	6,000	EOREOR
795711510299	11,000	EOREOR
795711495442	1,000	EOREOR
795711495589	8,000	EOREOR
795711495596	5,000	EOREOR
795711509392	0,000	EOREOR
795711509743	0,000	EOREOR
795711509750	11,000	EOREOR
795711509767	1,000	EOREOR
795711509774	1,000	EOREOR
795711509316	2,000	EOREOR
795711510060	2,000	EOREOR
795711496135	4,000	EOREOR
795711495268	2,000	EOREOR
795711495992	1,000	EOREOR
795711025731	0,000	EOREOR
795711511012	0,000	EOREOR
795711511081	0,000	EOREOR
	0,000	EOREOR
795711511494	0,000	EOREOR
795711511500	0,000	EOREOR
795711510688	0,000	EOREOR
795711511609	0,000	EOREOR
795711121570	0,000	EOREOR
795711510350	0,000	EOREOR
795711513665	0,000	EOREOR
795711513030	0,000	EOREOR
795711027940	1,000	EOREOR
795711513788	0,000	EOREOR
795711513085	4,000	EOREOR
795711512279	9,000	EOREOR
795711513948	3,000	EOREOR
795711513474	0,000	EOREOR
795711515614	1,000	EOREOR
795711514372	0,000	EOREOR
795711511876	0,000	EOREOR
795711512071	0,000	EOREOR
795711512507	0,000	EOREOR
795711512743	2,000	EOREOR
795711512170	1,000	EOREOR
795711513689	3,000	EOREOR
795711514181	14,000	EOREOR
795711072131	0,000	EOREOR
795711379155	9,000	EOREOR
795711512101	0,000	EOREOR
795711512729	0,000	EOREOR
795711512606	0,000	EOREOR
795711512231	0,000	EOREOR
795711514259	1,000	EOREOR
795711513177	0,000	EOREOR
795711998875	0,000	EOREOR
795711513535	0,000	EOREOR
795711513542	0,000	EOREOR
	0,000	EOREOR
795711512118	0,000	EOREOR
795711512354	0,000	EOREOR
795711513061	0,000	EOREOR
795711512521	0,000	EOREOR
795711512538	1,000	EOREOR
795711512217	1,000	EOREOR
00173858	2,000	EOREOR
795711513146	1,000	EOREOR
795711513153	0,000	EOREOR
886661203789	2,000	EOREOR
886661203796	0,000	EOREOR
795711515201	15,000	EOREOR
795711512576	0,000	EOREOR
795711512316	1,000	EOREOR
795711514167	14,000	EOREOR
886661265312	9,000	EOREOR
795711497484	1,000	EOREOR
795711514747	0,000	EOREOR
795711497590	0,000	EOREOR
795711515089	11,000	EOREOR
795711497897	4,000	EOREOR
795711497927	0,000	EOREOR
795711513573	11,000	EOREOR
795711513238	11,000	EOREOR
795711513245	5,000	EOREOR
795711515508	11,000	EOREOR
795711515515	0,000	EOREOR
	0,000	EOREOR
795711497637	1,000	EOREOR
795711497644	8,000	EOREOR
795711497651	3,000	EOREOR
